Date,CO2
19.582.027,315.71
19.582.877,317.45
19.583.699,317.51
19.585.370,315.87
19.586.219,314.93
19.587.068,313.21
19.588.740,313.33
19.589.562,314.67
19.590.411,315.58
19.591.260,316.49
19.592.027,316.65
19.592.877,317.72
19.593.699,318.29
19.594.548,318.15
19.595.370,316.54
19.596.219,314.79
19.597.068,313.84
19.597.890,313.33
19.598.740,314.81
19.599.562,315.58
19.600.410,316.43
19.601.257,316.98
19.602.049,317.58
19.602.896,319.03
19.603.716,320.03
19.604.563,319.58
19.605.383,318.18
19.606.230,315.90
19.607.077,314.17
19.607.896,313.83
19.608.743,315.00
19.609.563,316.19
19.610.411,316.89
19.611.260,317.70
19.612.027,318.54
19.612.877,319.48
19.613.699,320.58
19.614.548,319.77
19.615.370,318.56
19.616.219,316.79
19.617.068,314.99
19.617.890,315.31
19.618.740,316.10
19.619.562,317.01
19.620.411,317.94
19.621.260,318.55
19.622.027,319.68
19.622.877,320.57
19.623.699,321.02
19.624.548,320.62
19.625.370,319.62
19.626.219,317.40
19.627.068,316.24
19.627.890,315.42
19.628.740,316.69
19.629.562,317.70
19.630.411,318.74
19.631.260,319.07
19.632.027,319.86
19.632.877,321.38
19.633.699,322.24
19.634.548,321.49
19.635.370,319.74
19.636.219,317.77
19.637.068,316.21
19.637.890,315.99
19.638.740,317.07
19.639.562,318.35
19.640.410,319.57
19.643.716,322.25
19.644.563,321.90
19.645.383,320.44
19.646.230,318.69
19.647.077,316.71
19.647.896,316.87
19.648.743,317.68
19.649.563,318.71
19.650.411,319.44
19.651.260,320.44
19.652.027,320.89
19.652.877,322.13
19.653.699,322.17
19.654.548,321.88
19.655.370,321.21
19.656.219,318.87
19.657.068,317.82
19.657.890,317.30
19.658.740,318.87
19.659.562,319.42
19.660.411,320.62
19.661.260,321.60
19.662.027,322.39
19.662.877,323.70
19.663.699,324.08
19.664.548,323.75
19.665.370,322.37
19.666.219,320.36
19.667.068,318.64
19.667.890,318.10
19.668.740,319.78
19.669.562,321.02
19.670.411,322.33
19.671.260,322.50
19.672.027,323.03
19.672.877,324.41
19.673.699,325.00
19.674.548,324.09
19.675.370,322.54
19.676.219,320.92
19.677.068,319.25
19.677.890,319.39
19.678.740,320.73
19.679.562,321.96
19.680.410,322.57
19.681.257,323.15
19.682.049,323.89
19.682.896,325.02
19.683.716,325.57
19.684.563,325.36
19.685.383,324.14
19.686.230,322.11
19.687.077,320.33
19.687.896,320.25
19.688.743,321.32
19.689.563,322.89
19.690.411,324.00
19.691.260,324.41
19.692.027,325.63
19.692.877,326.66
19.693.699,327.38
19.694.548,326.71
19.695.370,325.88
19.696.219,323.66
19.697.068,322.38
19.697.890,321.78
19.698.740,322.85
19.699.562,324.11
19.700.411,325.06
19.701.260,325.99
19.702.027,326.93
19.702.877,328.13
19.703.699,328.08
19.704.548,327.67
19.705.370,326.34
19.706.219,324.68
19.707.068,323.10
19.707.890,323.06
19.708.740,324.01
19.709.562,325.13
19.710.411,326.17
19.711.260,326.68
19.712.027,327.18
19.712.877,327.78
19.713.699,328.93
19.714.548,328.57
19.715.370,327.36
19.716.219,325.43
19.717.068,323.36
19.717.890,323.56
19.718.740,324.80
19.719.562,326.01
19.720.410,326.77
19.721.257,327.63
19.722.049,327.75
19.722.896,329.72
19.723.716,330.07
19.724.563,329.09
19.725.383,328.04
19.726.230,326.32
19.727.077,324.84
19.727.896,325.20
19.728.743,326.50
19.729.563,327.55
19.730.411,328.55
19.731.260,329.57
19.732.027,330.30
19.732.877,331.50
19.733.699,332.48
19.734.548,332.08
19.735.370,330.87
19.736.219,329.31
19.737.068,327.52
19.737.890,327.19
19.738.740,328.17
19.739.562,328.65
19.740.411,329.36
19.741.260,330.71
19.742.027,331.49
19.742.877,332.65
19.743.699,333.10
19.744.548,332.26
19.745.370,331.18
19.746.219,329.40
19.747.068,327.44
19.747.890,327.38
19.748.740,328.46
19.749.562,329.58
19.750.411,330.41
19.751.260,331.41
19.752.027,332.04
19.752.877,333.32
19.753.699,333.98
19.754.548,333.62
19.755.370,331.91
19.756.219,330.06
19.757.068,328.56
19.757.890,328.35
19.758.740,329.50
19.759.562,330.77
19.760.410,331.76
19.761.257,332.58
19.762.049,333.50
19.762.896,334.59
19.763.716,334.89
19.764.563,334.34
19.765.383,333.06
19.766.230,330.95
19.767.077,329.31
19.767.896,328.95
19.768.743,330.32
19.769.563,331.69
19.770.411,332.94
19.771.260,333.43
19.772.027,334.71
19.772.877,336.08
19.773.699,336.76
19.774.548,336.28
19.775.370,334.93
19.776.219,332.76
19.777.068,331.60
19.777.890,331.17
19.778.740,332.41
19.779.562,333.86
19.780.411,334.98
19.781.260,335.40
19.782.027,336.65
19.782.877,337.76
19.783.699,338.02
19.784.548,337.91
19.785.370,336.55
19.786.219,334.69
19.787.068,332.77
19.787.890,332.56
19.788.740,333.93
19.789.562,334.96
19.790.411,336.24
19.791.260,336.77
19.792.027,337.97
19.792.877,338.89
19.793.699,339.48
19.794.548,339.30
19.795.370,337.74
19.796.219,336.10
19.797.068,333.93
19.797.890,333.87
19.798.740,335.30
19.799.562,336.74
19.800.410,338.03
19.801.257,338.37
19.802.049,340.09
19.802.896,340.78
19.803.716,341.48
19.804.563,341.19
19.805.383,339.57
19.806.230,337.61
19.807.077,335.90
19.807.896,336.03
19.808.743,337.12
19.809.563,338.23
19.810.411,339.25
19.811.260,340.50
19.812.027,341.40
19.812.877,342.52
19.813.699,342.93
19.814.548,342.27
19.815.370,340.50
19.816.219,338.45
19.817.068,336.71
19.817.890,336.88
19.818.740,338.38
19.819.562,339.63
19.820.411,340.77
19.821.260,341.63
19.822.027,342.72
19.822.877,343.59
19.823.699,344.16
19.824.548,343.37
19.825.370,342.07
19.826.219,339.83
19.827.068,338.00
19.827.890,337.88
19.828.740,339.28
19.829.562,340.51
19.830.411,341.40
19.831.260,342.54
19.832.027,343.12
19.832.877,344.96
19.833.699,345.77
19.834.548,345.34
19.835.370,344.00
19.836.219,342.40
19.837.068,339.89
19.837.890,340.01
19.838.740,341.16
19.839.562,342.99
19.840.410,343.82
19.841.257,344.62
19.842.049,345.38
19.842.896,347.15
19.843.716,347.52
19.844.563,346.88
19.845.383,345.47
19.846.230,343.34
19.847.077,341.13
19.847.896,341.40
19.848.743,343.02
19.849.563,344.25
19.850.411,344.99
19.851.260,346.01
19.852.027,347.43
19.852.877,348.34
19.853.699,348.92
19.854.548,348.24
19.855.370,346.54
19.856.219,344.64
19.857.068,343.06
19.857.890,342.77
19.858.740,344.21
19.859.562,345.53
19.860.411,346.28
19.861.260,346.93
19.862.027,347.83
19.862.877,349.53
19.863.699,350.19
19.864.548,349.54
19.865.370,347.92
19.866.219,345.88
19.867.068,344.83
19.867.890,344.16
19.868.740,345.64
19.869.562,346.88
19.870.411,348.00
19.871.260,348.47
19.872.027,349.41
19.872.877,350.97
19.873.699,351.84
19.874.548,351.25
19.875.370,349.50
19.876.219,348.08
19.877.068,346.44
19.877.890,346.09
19.878.740,347.54
19.879.562,348.69
19.880.410,350.16
19.881.257,351.47
19.882.049,351.96
19.882.896,353.33
19.883.716,353.97
19.884.563,353.55
19.885.383,352.14
19.886.230,350.19
19.887.077,348.50
19.887.896,348.66
19.888.743,349.85
19.889.563,351.12
19.890.411,352.55
19.891.260,352.86
19.892.027,353.48
19.892.877,355.21
19.893.699,355.47
19.894.548,354.92
19.895.370,353.70
19.896.219,351.47
19.897.068,349.61
19.897.890,349.79
19.898.740,351.10
19.899.562,352.32
19.900.411,353.46
19.901.260,354.50
19.902.027,355.19
19.902.877,356.00
19.903.699,356.96
19.904.548,356.04
19.905.370,354.62
19.906.219,352.71
19.907.068,350.77
19.907.890,350.99
19.908.740,352.64
19.909.562,354.02
19.910.411,354.53
19.911.260,355.55
19.912.027,356.96
19.912.877,358.40
19.913.699,359.14
19.914.548,358.04
19.915.370,355.98
19.916.219,353.81
19.917.068,351.95
19.917.890,352.02
19.918.740,353.55
19.919.562,354.79
19.920.410,355.79
19.921.257,356.53
19.922.049,357.61
19.922.896,358.95
19.923.716,359.46
19.924.563,359.06
19.925.383,356.82
19.926.230,354.80
19.927.077,352.81
19.927.896,353.11
19.928.743,353.96
19.929.563,355.20
19.930.411,356.50
19.931.260,356.97
19.932.027,358.18
19.932.877,359.26
19.933.699,360.08
19.934.548,359.40
19.935.370,357.38
19.936.219,355.33
19.937.068,353.50
19.937.890,353.80
19.938.740,355.15
19.939.562,356.62
19.940.411,358.19
19.941.260,358.73
19.942.027,359.79
19.942.877,361.09
19.943.699,361.51
19.944.548,360.78
19.945.370,359.38
19.946.219,357.31
19.947.068,355.68
19.947.890,355.83
19.948.740,357.42
19.949.562,358.87
19.950.411,359.81
19.951.260,360.84
19.952.027,361.48
19.952.877,363.30
19.953.699,363.64
19.954.548,363.11
19.955.370,361.74
19.956.219,359.31
19.957.068,357.91
19.957.890,357.62
19.958.740,359.42
19.959.562,360.56
19.960.410,361.91
19.961.257,363.11
19.962.049,363.89
19.962.896,364.58
19.963.716,365.29
19.964.563,364.84
19.965.383,363.52
19.966.230,361.35
19.967.077,359.32
19.967.896,359.48
19.968.743,360.64
19.969.563,362.21
19.970.411,363.06
19.971.260,363.87
19.972.027,364.44
19.972.877,366.23
19.973.699,366.68
19.974.548,365.52
19.975.370,364.36
19.976.219,362.39
19.977.068,360.08
19.977.890,360.67
19.978.740,362.32
19.979.562,364.17
19.980.411,365.22
19.981.260,366.04
19.982.027,367.20
19.982.877,368.50
19.983.699,369.19
19.984.548,368.77
19.985.370,367.53
19.986.219,365.67
19.987.068,363.80
19.987.890,364.13
19.988.740,365.36
19.989.562,366.87
19.990.411,368.05
19.991.260,368.77
19.992.027,369.49
19.992.877,371.04
19.993.699,370.90
19.994.548,370.25
19.995.370,369.17
19.996.219,366.83
19.997.068,364.54
19.997.890,365.04
19.998.740,366.58
19.999.562,367.92
20.000.410,369.05
20.001.257,369.37
20.002.049,370.42
20.002.896,371.57
20.003.716,371.74
20.004.563,371.60
20.005.383,370.02
20.006.230,368.03
20.007.077,366.53
20.007.896,366.64
20.008.743,368.20
20.009.563,369.44
20.010.411,370.20
20.011.260,371.42
20.012.027,372.04
20.012.877,372.78
20.013.699,373.94
20.014.548,373.23
20.015.370,371.54
20.016.219,369.47
20.017.068,367.88
20.017.890,368.02
20.018.740,369.60
20.019.562,371.15
20.020.411,372.36
20.021.260,373.00
20.022.027,373.44
20.022.877,374.77
20.023.699,375.48
20.024.548,375.34
20.025.370,373.95
20.026.219,371.41
20.027.068,370.63
20.027.890,370.18
20.028.740,372.01
20.029.562,373.71
20.030.411,374.61
20.031.260,375.55
20.032.027,376.04
20.032.877,377.58
20.033.699,378.28
20.034.548,378.07
20.035.370,376.54
20.036.219,374.42
20.037.068,372.92
20.037.890,372.94
20.038.740,374.29
20.039.562,375.63
20.040.410,376.73
20.041.257,377.31
20.042.049,378.33
20.042.896,380.44
20.043.716,380.56
20.044.563,379.49
20.045.383,377.70
20.046.230,375.77
20.047.077,373.99
20.047.896,374.17
20.048.743,375.79
20.049.563,377.39
20.050.411,378.29
20.051.260,379.56
20.052.027,380.07
20.052.877,382.01
20.053.699,382.21
20.054.548,382.05
20.055.370,380.63
20.056.219,378.63
20.057.068,376.39
20.057.890,376.77
20.058.740,378.27
20.059.562,379.93
20.060.411,381.33
20.061.260,381.98
20.062.027,382.53
20.062.877,384.33
20.063.699,384.89
20.064.548,384.00
20.065.370,382.25
20.066.219,380.44
20.067.068,378.77
20.067.890,379.03
20.068.740,380.11
20.069.562,381.63
20.070.411,382.55
20.071.260,383.68
20.072.027,384.31
20.072.877,386.20
20.073.699,386.38
20.074.548,385.85
20.075.370,384.42
20.076.219,381.81
20.077.068,380.83
20.077.890,380.83
20.078.740,382.32
20.079.562,383.58
20.080.410,385.04
20.081.257,385.81
20.082.049,385.80
20.082.896,386.74
20.083.716,388.48
20.084.563,388.02
20.085.383,386.22
20.086.230,384.05
20.087.077,383.05
20.087.896,382.75
20.088.743,383.98
20.089.563,385.08
20.090.411,386.63
20.091.260,387.10
20.092.027,388.50
20.092.877,389.54
20.093.699,390.15
20.094.548,389.60
20.095.370,388.05
20.096.219,386.06
20.097.068,384.64
20.097.890,384.32
20.098.740,386.05
20.099.562,387.48
20.100.411,388.55
20.101.260,390.08
20.102.027,391.02
20.102.877,392.39
20.103.699,393.24
20.104.548,392.26
20.105.370,390.35
20.106.219,388.53
20.107.068,386.85
20.107.890,387.18
20.108.740,388.69
20.109.562,389.83
20.110.411,391.33
20.111.260,391.96
20.112.027,392.49
20.112.877,393.40
20.113.699,394.33
20.114.548,393.75
20.115.370,392.64
20.116.219,390.25
20.117.068,389.05
20.117.890,388.98
20.118.740,390.30
20.119.562,391.86
20.120.410,393.13
20.121.257,393.42
20.122.049,394.43
20.122.896,396.51
20.123.716,396.96
20.124.563,395.97
20.125.383,394.60
20.126.230,392.61
20.127.077,391.20
20.127.896,391.09
20.128.743,393.03
20.129.563,394.42
20.130.411,395.69
20.131.260,396.94
20.132.027,397.36
20.132.877,398.44
20.133.699,400.06
20.134.548,398.96
20.135.370,397.45
20.136.219,395.48
20.137.068,393.47
20.137.890,393.77
20.138.740,395.27
20.139.562,396.90
20.140.411,398.01
20.141.260,398.18
20.142.027,399.56
20.142.877,401.43
20.143.699,401.98
20.144.548,401.41
20.145.370,399.17
20.146.219,397.30
20.147.068,395.49
20.147.890,395.74
20.148.740,397.32
20.149.562,398.89
20.150.411,399.94
20.151.260,400.40
20.152.027,401.60
20.152.877,403.52
20.153.699,404.03
20.154.548,402.81
20.155.370,401.54
20.156.219,398.93
20.157.068,397.43
20.157.890,398.22
20.158.740,400.17
20.159.562,401.82
20.160.410,402.57
20.161.257,404.10
20.162.049,404.79
20.162.896,407.48
20.163.716,407.60
20.164.563,406.94
20.165.383,404.43
20.166.230,402.16
20.167.077,400.94
20.167.896,401.43
20.168.743,403.57
20.169.563,404.49
20.170.411,406.00
20.171.260,406.57
20.172.027,406.99
20.172.877,408.88
20.173.699,409.84
20.174.548,409.04
20.175.370,407.14
20.176.219,405.19
20.177.068,403.20
20.177.890,403.56
20.178.740,405.10
20.179.562,406.68
20.180.411,407.98
20.181.260,408.35
20.182.027,409.21
20.182.877,410.23
20.183.699,411.23
20.184.548,410.81
20.185.370,408.83
20.186.219,407.02
20.187.068,405.53
20.187.890,405.93
20.188.740,408.05
20.189.562,409.16
20.190.411,410.85
20.191.260,411.58
20.192.027,411.90
20.192.877,413.46
20.193.699,414.75
20.194.548,413.89
20.195.370,411.79
20.196.219,410.02
20.197.068,408.48
20.197.890,408.40
20.198.740,410.16
20.199.562,411.81
20.200.410,413.32
20.201.257,414.04
20.202.049,414.44
20.202.896,416.11
20.203.716,417.16
20.204.563,416.29
20.205.383,414.43
20.206.230,412.52
20.207.077,411.17
20.207.896,411.12
20.208.743,412.89
20.209.563,413.88
20.210.411,415.15
20.211.260,416.47
20.212.027,417.10
20.212.877,418.26
20.213.699,418.95
20.214.548,418.70
20.215.370,416.66
20.216.219,414.38
20.217.068,412.93
20.217.890,413.52
20.218.740,414.81
20.219.562,416.43
20.220.411,418.01
20.221.260,418.99
20.222.027,418.45
20.222.877,420.01
20.223.699,420.78
20.224.548,420.68
20.225.370,418.71
20.226.219,416.75
20.227.068,415.42
20.227.890,415.31
20.228.740,417.03
20.229.562,418.46
20.230.411,419.13
20.231.260,420.33
20.232.027,420.51
20.232.877,422.73
20.233.699,423.78
20.234.548,423.39
20.235.370,421.62
20.236.219,419.56
20.237.068,418.06
20.237.890,418.41
20.238.740,420.11
20.239.562,421.65
20.240.410,422.62
20.241.257,424.34
20.242.049,425.22
20.242.896,426.30
20.243.716,426.70
20.244.563,426.62
20.245.383,425.40
20.246.230,422.70
20.247.077,421.60
20.247.896,422.05
20.248.743,423.61
20.249.563,425.01
20.250.411,426.42
20.251.260,427.00
20.252.027,427.73
20.252.877,429.24
20.253.699,430.21
20.254.548,429.52
20.255.370,427.56